waypoint1	waypoint2	distance_m	duration_s
Wynwood, Miami, FL	Allston-Brighton, Boston, MA	2389866	78542
LoHi, Denver, CO	Los Feliz, Los Angeles, CA	1640732	52911
Warehouse District, New Orleans, LALouisville, KY	The Mission, San Francisco, CA	3876316	123899
North Park, San Diego, CA	Los Feliz, Los Angeles, CA	199894	7681
Venice Beach, CA	Portland, ME	4987858	161176
North Loop, Minneapolis, MN	The Mission, San Francisco, CA	3161505	103121
East Nashville, Nashville, TN	Savannah, GA	796391	25775
Silver Lake, Los Angeles, CA	Boulder, CO	1656926	53847
H Street Corridor, Washington, DC	Los Feliz, Los Angeles, CA	4306867	136977
Westheimer Road, Houston, TX	Los Feliz, Los Angeles, CA	2488167	77785
East Austin, Austin, TX	Providence, RI	3095108	101479
H Street Corridor, Washington, DC	The Mission, San Francisco, CA	4539837	145805
Warehouse District, New Orleans, LALouisville, KY	Hampden, Baltimore, MD	852614	28773
Highland Park, Los Angeles, CA	Los Feliz, Los Angeles, CA	14875	944
Capitol Hill, Seattle, WA	Warehouse District, New Orleans, LALouisville, KY	3955874	127892
Pearl District, Portland, OR	The Uptown, Oakland, CA	1013214	34241
East Nashville, Nashville, TN	Boulder, CO	1890042	59747
Little Five Points, Atlanta, GA	East Nashville, Nashville, TN	401326	13361
Westheimer Road, Houston, TX	Alberta, Portland, OR	3534020	119675
Wicker Park, Chicago, IL	Arts District, Los Angeles, CA	3243865	103225
East Austin, Austin, TX	Hampden, Baltimore, MD	2502050	81726
Capitol Hill, Seattle, WA	Wicker Park, Chicago, IL	3318290	106931
Savannah, GA	Downtown, Portland, OR	4571871	146748
Capitol Hill, Seattle, WA	Kansas City, MO	2957936	96552
Williamsburg, Brooklyn, NY	Bushwick, Brooklyn, NY	4046	525
Silver Lake, Los Angeles, CA	Alberta, Portland, OR	1551665	51098
Warehouse District, New Orleans, LALouisville, KY	Savannah, GA	913810	29916
Silver Lake, Los Angeles, CA	Pearl District, Portland, OR	1547060	50789
Highland Park, Los Angeles, CA	Westheimer Road, Houston, TX	2484847	77365
Little Five Points, Atlanta, GA	Portland, ME	1895687	64486
North Park, San Diego, CA	The Mission, San Francisco, CA	803641	27159
North Loop, Minneapolis, MN	Allston-Brighton, Boston, MA	2243851	74830
Williamsburg, Brooklyn, NY	Asheville, NC	1112743	37459
Highland Park, Los Angeles, CA	Allston-Brighton, Boston, MA	4787685	153861
North Loop, Minneapolis, MN	Arts District, Los Angeles, CA	3101502	97989
Allston-Brighton, Boston, MA	Somerville, MA	6341	866
Warehouse District, New Orleans, LALouisville, KY	Portland, ME	1639565	55308
Wynwood, Miami, FL	Alberta, Portland, OR	5232196	167301
Silver Lake, Los Angeles, CA	Asheville, NC	3699168	117494
Northern Liberties, Philadelphia, PA	Hampden, Baltimore, MD	176122	6630
Charleston, SC	The Mission, San Francisco, CA	4457856	142522
Kansas City, MO	The Mission, San Francisco, CA	2906285	92368
H Street Corridor, Washington, DC	North Loop, Minneapolis, MN	1801311	60482
Williamsburg, Brooklyn, NY	Somerville, MA	340600	13102
Pearl District, Portland, OR	Bushwick, Brooklyn, NY	4666681	151397
Somerville, MA	Downtown, Portland, OR	4968295	161759
North Park, San Diego, CA	Warehouse District, New Orleans, LALouisville, KY	3484284	111609
H Street Corridor, Washington, DC	Wynwood, Miami, FL	1690602	53851
Silver Lake, Los Angeles, CA	North Park, San Diego, CA	196832	7359
Boulder, CO	Wicker Park, Chicago, IL	1636312	51955
Silver Lake, Los Angeles, CA	Arts District, Los Angeles, CA	8002	530
Williamsburg, Brooklyn, NY	Charleston, SC	1224301	41104
East Nashville, Nashville, TN	Warehouse District, New Orleans, LALouisville, KY	371477	12553
Pearl District, Portland, OR	Los Feliz, Los Angeles, CA	1544921	50767
Warehouse District, New Orleans, LALouisville, KY	Pearl District, Portland, OR	3858991	124176
H Street Corridor, Washington, DC	Asheville, NC	760762	25733
The Uptown, Oakland, CA	Downtown, Portland, OR	1011295	34212
Boulder, CO	Hampden, Baltimore, MD	2700055	88508
Providence, RI	Westheimer Road, Houston, TX	2923200	95916
Savannah, GA	The Mission, San Francisco, CA	4376325	138831
Silver Lake, Los Angeles, CA	Wynwood, Miami, FL	4396486	137729
Asheville, NC	Alberta, Portland, OR	4244845	137027
Williamsburg, Brooklyn, NY	Savannah, GA	1293222	43165
Wynwood, Miami, FL	Charleston, SC	936497	30357
Pearl District, Portland, OR	LoHi, Denver, CO	1993950	65220
Little Five Points, Atlanta, GA	Allston-Brighton, Boston, MA	1731273	59002
East Nashville, Nashville, TN	Wynwood, Miami, FL	1458993	46186
LoHi, Denver, CO	Bushwick, Brooklyn, NY	2868553	93279
Northern Liberties, Philadelphia, PA	The Mission, San Francisco, CA	4629812	148518
Los Feliz, Los Angeles, CA	Hampden, Baltimore, MD	4258543	137205
Capitol Hill, Seattle, WA	Los Feliz, Los Angeles, CA	1823249	60503
Pearl District, Portland, OR	Westheimer Road, Houston, TX	3537310	119565
Highland Park, Los Angeles, CA	Pearl District, Portland, OR	1551881	51013
Northern Liberties, Philadelphia, PA	Asheville, NC	980339	33105
Kansas City, MO	Boulder, CO	1001345	31175
Capitol Hill, Seattle, WA	Providence, RI	4888965	159192
Somerville, MA	Hampden, Baltimore, MD	647320	23696
North Loop, Minneapolis, MN	Alberta, Portland, OR	2777614	89427
East Nashville, Nashville, TN	Providence, RI	1713538	57160
Asheville, NC	Downtown, Portland, OR	4247121	136886
The Uptown, Oakland, CA	Savannah, GA	4361615	138029
Highland Park, Los Angeles, CA	Wicker Park, Chicago, IL	3235840	102946
North Park, San Diego, CA	Westheimer Road, Houston, TX	2351514	72557
North Park, San Diego, CA	Portland, ME	4986057	161660
Somerville, MA	The Mission, San Francisco, CA	4985490	160637
Silver Lake, Los Angeles, CA	Bushwick, Brooklyn, NY	4480841	144947
H Street Corridor, Washington, DC	East Austin, Austin, TX	2458538	79592
Allston-Brighton, Boston, MA	Charleston, SC	1557205	52749
Venice Beach, CA	Northern Liberties, Philadelphia, PA	4394076	141764
North Park, San Diego, CA	Wicker Park, Chicago, IL	3339513	106225
Somerville, MA	Asheville, NC	1462131	49639
LoHi, Denver, CO	The Mission, San Francisco, CA	2011275	64943
East Nashville, Nashville, TN	North Loop, Minneapolis, MN	1421824	46313
Williamsburg, Brooklyn, NY	LoHi, Denver, CO	2864507	92754
Westheimer Road, Houston, TX	Charleston, SC	1759086	57097
Silver Lake, Los Angeles, CA	Westheimer Road, Houston, TX	2485583	77532
Savannah, GA	North Loop, Minneapolis, MN	2216237	71749
Pearl District, Portland, OR	Wynwood, Miami, FL	5235487	167191
Los Feliz, Los Angeles, CA	Downtown, Portland, OR	1543542	50804
Venice Beach, CA	East Austin, Austin, TX	2247983	71734
Providence, RI	Warehouse District, New Orleans, LALouisville, KY	1416515	48137
Silver Lake, Los Angeles, CA	Somerville, MA	4800737	154702
Alberta, Portland, OR	Arts District, Los Angeles, CA	1556582	51396
North Loop, Minneapolis, MN	Downtown, Portland, OR	2779890	89286
Westheimer Road, Houston, TX	North Loop, Minneapolis, MN	1903109	62427
Portland, ME	Asheville, NC	1624201	54698
Providence, RI	Asheville, NC	1401151	47527
Westheimer Road, Houston, TX	Asheville, NC	1622542	52801
Providence, RI	Northern Liberties, Philadelphia, PA	441867	16290
Wicker Park, Chicago, IL	Wynwood, Miami, FL	2218116	71542
Allston-Brighton, Boston, MA	Northern Liberties, Philadelphia, PA	490580	18040
Portland, ME	The Mission, San Francisco, CA	5146791	165638
Pearl District, Portland, OR	Allston-Brighton, Boston, MA	4965052	160431
Little Five Points, Atlanta, GA	North Park, San Diego, CA	3446307	107203
Wynwood, Miami, FL	Hampden, Baltimore, MD	1758450	56649
Venice Beach, CA	Charleston, SC	4005149	128378
The Uptown, Oakland, CA	Westheimer Road, Houston, TX	3077740	96093
Allston-Brighton, Boston, MA	Bushwick, Brooklyn, NY	338980	12836
Downtown, Portland, OR	Arts District, Los Angeles, CA	1550599	51123
Pearl District, Portland, OR	Alberta, Portland, OR	4903	548
